Stress_info	Sample_description	BioSample	BioProject	Tissue
Aglycines	control_res	SAMN05327832	PRJNA327272	leaves
Aglycines	control_res	SAMN05327833	PRJNA327272	leaves
Aglycines	control_res	SAMN05327831	PRJNA327272	leaves
Aglycines	control_sus	SAMN05327843	PRJNA327272	leaves
Aglycines	control_sus	SAMN05327844	PRJNA327272	leaves
Aglycines	control_sus	SAMN05327845	PRJNA327272	leaves
Aglycines	stress_res_12h	SAMN05327837	PRJNA327272	leaves
Aglycines	stress_res_12h	SAMN05327838	PRJNA327272	leaves
Aglycines	stress_res_12h	SAMN05327839	PRJNA327272	leaves
Aglycines	stress_res_48h	SAMN05327840	PRJNA327272	leaves
Aglycines	stress_res_48h	SAMN05327841	PRJNA327272	leaves
Aglycines	stress_res_48h	SAMN05327842	PRJNA327272	leaves
Aglycines	stress_res_6h	SAMN05327834	PRJNA327272	leaves
Aglycines	stress_res_6h	SAMN05327835	PRJNA327272	leaves
Aglycines	stress_res_6h	SAMN05327836	PRJNA327272	leaves
Aglycines	stress_sus_12h	SAMN05327849	PRJNA327272	leaves
Aglycines	stress_sus_12h	SAMN05327850	PRJNA327272	leaves
Aglycines	stress_sus_12h	SAMN05327851	PRJNA327272	leaves
Aglycines	stress_sus_48h	SAMN05327853	PRJNA327272	leaves
Aglycines	stress_sus_48h	SAMN05327852	PRJNA327272	leaves
Aglycines	stress_sus_48h	SAMN05327854	PRJNA327272	leaves
Aglycines	stress_sus_6h	SAMN05327846	PRJNA327272	leaves
Aglycines	stress_sus_6h	SAMN05327847	PRJNA327272	leaves
Aglycines	stress_sus_6h	SAMN05327848	PRJNA327272	leaves
Aglycines	control_24HAI_antibiotic	SAMN13520113	PRJNA594515	leaves
Aglycines	control_24HAI_antibiotic	SAMN13520112	PRJNA594515	leaves
Aglycines	control_24HAI_antibiotic	SAMN13520111	PRJNA594515	leaves
Aglycines	control_24HAI_antixenotic	SAMN13520067	PRJNA594515	leaves
Aglycines	control_24HAI_antixenotic	SAMN13520066	PRJNA594515	leaves
Aglycines	control_24HAI_antixenotic	SAMN13520065	PRJNA594515	leaves
Aglycines	control_24HAI_susceptible	SAMN13520095	PRJNA594515	leaves
Aglycines	control_24HAI_susceptible	SAMN13520094	PRJNA594515	leaves
Aglycines	control_24HAI_susceptible	SAMN13520093	PRJNA594515	leaves
Aglycines	control_48HAI_antibiotic	SAMN13520107	PRJNA594515	leaves
Aglycines	control_48HAI_antibiotic	SAMN13520106	PRJNA594515	leaves
Aglycines	control_48HAI_antibiotic	SAMN13520105	PRJNA594515	leaves
Aglycines	control_48HAI_antixenotic	SAMN13520061	PRJNA594515	leaves
Aglycines	control_48HAI_antixenotic	SAMN13520060	PRJNA594515	leaves
Aglycines	control_48HAI_antixenotic	SAMN13520059	PRJNA594515	leaves
Aglycines	control_48HAI_susceptible	SAMN13520079	PRJNA594515	leaves
Aglycines	control_48HAI_susceptible	SAMN13520078	PRJNA594515	leaves
Aglycines	control_48HAI_susceptible	SAMN13520077	PRJNA594515	leaves
Aglycines	control_96HAI_antibiotic	SAMN13520101	PRJNA594515	leaves
Aglycines	control_96HAI_antibiotic	SAMN13520100	PRJNA594515	leaves
Aglycines	control_96HAI_antibiotic	SAMN13520099	PRJNA594515	leaves
Aglycines	control_96HAI_antixenotic	SAMN13520119	PRJNA594515	leaves
Aglycines	control_96HAI_antixenotic	SAMN13520118	PRJNA594515	leaves
Aglycines	control_96HAI_antixenotic	SAMN13520117	PRJNA594515	leaves
Aglycines	control_96HAI_susceptible	SAMN13520073	PRJNA594515	leaves
Aglycines	control_96HAI_susceptible	SAMN13520072	PRJNA594515	leaves
Aglycines	control_96HAI_susceptible	SAMN13520071	PRJNA594515	leaves
Aglycines	stress_24HAI_antibiotic	SAMN13520110	PRJNA594515	leaves
Aglycines	stress_24HAI_antibiotic	SAMN13520109	PRJNA594515	leaves
Aglycines	stress_24HAI_antibiotic	SAMN13520108	PRJNA594515	leaves
Aglycines	stress_24HAI_antixenotic	SAMN13520064	PRJNA594515	leaves
Aglycines	stress_24HAI_antixenotic	SAMN13520063	PRJNA594515	leaves
Aglycines	stress_24HAI_antixenotic	SAMN13520062	PRJNA594515	leaves
Aglycines	stress_24HAI_susceptible	SAMN13520082	PRJNA594515	leaves
Aglycines	stress_24HAI_susceptible	SAMN13520081	PRJNA594515	leaves
Aglycines	stress_24HAI_susceptible	SAMN13520080	PRJNA594515	leaves
Aglycines	stress_48HAI_antibiotic	SAMN13520104	PRJNA594515	leaves
Aglycines	stress_48HAI_antibiotic	SAMN13520103	PRJNA594515	leaves
Aglycines	stress_48HAI_antibiotic	SAMN13520102	PRJNA594515	leaves
