# SignalP-6.0	Organism: Other	Timestamp: 20220615203505
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Sec/SPII)	PILIN(Sec/SPIII)	CS Position
Glyma.01G165400	SP	0.002959	0.996284	0.000198	0.000183	0.000166	0.000168	CS pos: 30-31. Pr: 0.9589
Glyma.01G165600	SP	0.000223	0.999219	0.000159	0.000141	0.000130	0.000121	CS pos: 25-26. Pr: 0.9739
Glyma.01G165800	NO_SP	0.967263	0.032549	0.000087	0.000022	0.000026	0.000046	
Glyma.01G217600	SP	0.000197	0.999193	0.000157	0.000163	0.000142	0.000139	CS pos: 23-24. Pr: 0.9474
Glyma.01G217700	SP	0.000186	0.999216	0.000144	0.000153	0.000131	0.000132	CS pos: 21-22. Pr: 0.9782
Glyma.02G047400	SP	0.000377	0.999010	0.000161	0.000152	0.000136	0.000130	CS pos: 31-32. Pr: 0.9586
Glyma.02G220900	SP	0.000403	0.999022	0.000158	0.000149	0.000133	0.000135	CS pos: 26-27. Pr: 0.9632
Glyma.02G249500	SP	0.000501	0.998880	0.000172	0.000149	0.000137	0.000142	CS pos: 22-23. Pr: 0.9605
Glyma.04G023700	SP	0.000249	0.999175	0.000158	0.000134	0.000125	0.000125	CS pos: 23-24. Pr: 0.9768
Glyma.04G034300	NO_SP	1.000038	0.000028	0.000000	0.000000	0.000000	0.000000	
Glyma.04G176200	SP	0.000745	0.998528	0.000176	0.000189	0.000158	0.000157	CS pos: 18-19. Pr: 0.9685
Glyma.04G225800	NO_SP	0.999684	0.000337	0.000001	0.000000	0.000000	0.000000	
Glyma.05G169700	SP	0.000274	0.999168	0.000166	0.000131	0.000123	0.000120	CS pos: 27-28. Pr: 0.7158
Glyma.05G204600	SP	0.000304	0.998884	0.000278	0.000170	0.000155	0.000146	CS pos: 22-23. Pr: 0.9749
Glyma.05G204800	SP	0.000275	0.998913	0.000328	0.000165	0.000144	0.000136	CS pos: 21-22. Pr: 0.9718
Glyma.05G245800	SP	0.000332	0.999064	0.000164	0.000160	0.000140	0.000136	CS pos: 22-23. Pr: 0.9785
Glyma.06G023900	SP	0.000224	0.999192	0.000156	0.000138	0.000128	0.000126	CS pos: 23-24. Pr: 0.9774
Glyma.06G139000	NO_SP	0.527262	0.470606	0.000773	0.000535	0.000291	0.000529	
Glyma.06G189100	SP	0.000235	0.999097	0.000164	0.000174	0.000157	0.000144	CS pos: 23-24. Pr: 0.9767
Glyma.07G135100	SP	0.000248	0.999183	0.000142	0.000147	0.000135	0.000134	CS pos: 22-23. Pr: 0.9760
Glyma.08G053600	SP	0.000513	0.998857	0.000183	0.000145	0.000130	0.000135	CS pos: 30-31. Pr: 0.9694
Glyma.08G128000	SP	0.000254	0.999153	0.000182	0.000141	0.000135	0.000131	CS pos: 28-29. Pr: 0.8036
Glyma.08G172700	NO_SP	1.000048	0.000006	0.000000	0.000000	0.000000	0.000000	
Glyma.09G003600	NO_SP	1.000057	0.000007	0.000000	0.000000	0.000000	0.000000	
Glyma.10G060300	SP	0.000182	0.999201	0.000160	0.000165	0.000148	0.000139	CS pos: 21-22. Pr: 0.9816
Glyma.10G060800	SP	0.002787	0.996509	0.000190	0.000188	0.000154	0.000144	CS pos: 42-43. Pr: 0.9244
Glyma.10G061000	SP	0.000182	0.999226	0.000141	0.000158	0.000136	0.000129	CS pos: 21-22. Pr: 0.9810
Glyma.10G061700	SP	0.000182	0.999201	0.000160	0.000165	0.000148	0.000139	CS pos: 21-22. Pr: 0.9816
Glyma.10G061800	SP	0.009422	0.989812	0.000236	0.000187	0.000161	0.000153	CS pos: 40-41. Pr: 0.9265
Glyma.10G062100	SP	0.000217	0.999201	0.000153	0.000156	0.000131	0.000127	CS pos: 22-23. Pr: 0.9770
Glyma.11G025600	SP	0.000195	0.999156	0.000161	0.000162	0.000144	0.000141	CS pos: 23-24. Pr: 0.9726
Glyma.11G077700	SP	0.000206	0.999244	0.000146	0.000146	0.000128	0.000122	CS pos: 25-26. Pr: 0.9700
Glyma.11G077800	SP	0.000315	0.999133	0.000155	0.000138	0.000130	0.000123	CS pos: 28-29. Pr: 0.9697
Glyma.11G106100	SP	0.000180	0.999217	0.000147	0.000146	0.000133	0.000130	CS pos: 24-25. Pr: 0.9778
Glyma.11G106200	NO_SP	1.000003	0.000045	0.000005	0.000000	0.000000	0.000000	
