Matrix_ID	TF_Locus	Matrix_Type
TF_motif_seq_0036	NA	NA
TF_motif_seq_0449	NA	NA
TF_motif_seq_0501	NA	NA
TF_motif_seq_0026	NA	NA
TF_motif_seq_0167	NA	NA
TF_motif_seq_0191	NA	NA
TF_motif_seq_0419	NA	NA
TF_motif_seq_0303	NA	NA
TF_motif_seq_0063	NA	NA
TF_motif_seq_0007	NA	NA
TF_motif_seq_0100	NA	NA
TF_motif_seq_0083	NA	NA
TF_motif_seq_0497	NA	NA
TF_motif_seq_0064	NA	NA
TF_motif_seq_0214	NA	NA
TF_motif_seq_0164	NA	NA
TF_motif_seq_0180	NA	NA
TF_motif_seq_0432	NA	NA
TF_motif_seq_0017	NA	NA
TF_motif_seq_0315	NA	NA
TF_motif_seq_0230	NA	NA
TF_motif_seq_0212	NA	NA
TF_motif_seq_0198	NA	NA
TF_motif_seq_0276	NA	NA
TF_motif_seq_0260	NA	NA
TF_motif_seq_0450	NA	NA
TF_motif_seq_0346	NA	NA
TF_motif_seq_0361	NA	NA
TF_motif_seq_0362	NA	NA
TF_motif_seq_0469	NA	NA
TF_motif_seq_0278	NA	NA
TF_motif_seq_0375	NA	NA
TFmatrixID_0316	Glyma.11G247300	Direct
TFmatrixID_0316	Glyma.18G010000.1	Inferred
TFmatrixID_0438	Glyma.19G095300.1	Direct
TFmatrixID_0438	Glyma.17G132400.1	Inferred
TFmatrixID_0438	Glyma.16G004300.1	Inferred
TFmatrixID_0438	Glyma.13G144100.1	Inferred
TFmatrixID_0438	Glyma.12G168300.1	Inferred
TFmatrixID_0438	Glyma11g20200.1	Inferred
TFmatrixID_0438	Glyma.10G285900.1	Inferred
TFmatrixID_0438	Glyma10g06510.1	Inferred
TFmatrixID_0438	Glyma.10G240200.1	Inferred
TFmatrixID_0438	Glyma.09G284500.1	Inferred
TFmatrixID_0438	Glyma.08G299400	Inferred
TFmatrixID_0438	Glyma07g25430.1	Inferred
TFmatrixID_0438	Glyma.07G080300.1	Inferred
TFmatrixID_0438	Glyma.06G193000.1	Inferred
TFmatrixID_0438	Glyma05g01130.1	Inferred
TFmatrixID_0438	Glyma.05G050400.1	Inferred
TFmatrixID_0438	Glyma02g11780.1	Inferred
TFmatrixID_0438	Glyma.03G018800.1	Inferred
TFmatrixID_0438	Glyma.20G154400.2	Inferred
TFmatrixID_0438	Glyma.20G103400.1	Inferred
TFmatrixID_0438	Glyma18g15410.1	Inferred
TF_motif_seq_0051	L01447	Direct
TF_motif_seq_0051	L01448	Direct
TF_motif_seq_0051	L01449	Direct
TFmatrixID_0516	Glyma18g49100.1	Inferred
TFmatrixID_0516	Glyma.18G244600.1	Inferred
TFmatrixID_0516	Glyma.17G158300.2	Inferred
TFmatrixID_0516	Glyma.17G062600.2	Inferred
TFmatrixID_0516	Glyma.16G007400.1	Inferred
TFmatrixID_0516	Glyma.14G089200.1	Inferred
TFmatrixID_0516	Glyma.13G096900.1	Inferred
TFmatrixID_0516	Glyma.11G131900.1	Inferred
TFmatrixID_0516	Glyma.12G056300.1	Inferred
TFmatrixID_0516	Glyma.11G045800	Inferred
TFmatrixID_0516	Glyma.10G171400.1	Inferred
TFmatrixID_0516	Glyma09g33240.1	Inferred
TFmatrixID_0516	Glyma.08G279000.1	Inferred
TFmatrixID_0516	Glyma.06G049200.1	Inferred
TFmatrixID_0516	Glyma.05G108600	Inferred
