Duplicate_1	Duplicate_2	Ka	Ks	Ka.Ks	Mode	Divergence_MYA
Glyma.01G165400	Glyma.12G031200	0.31127	1.71123	0.181898	DD	140
Glyma.01G165600	Glyma.14G219600	0.295846	2.54044	0.116455	DD	208
Glyma.01G165800	Glyma.11G077700	0.223205	1.20057	0.185916	DD	98
Glyma.01G217600	Glyma.05G204800	0.218061	3.59957	0.0605799	DD	295
Glyma.01G217700	Glyma.05G204800	0.239163	3.60007	0.0664329	DD	295
Glyma.02G047400	Glyma.12G031200	0.290934	1.65346	0.175954	DD	136
Glyma.02G220900	Glyma.11G077700	0.465078	4.07619	0.114096	DD	334
Glyma.02G249500	Glyma.18G185100	0.192319	2.67736	0.0718317	DD	219
Glyma.04G034300	Glyma.14G077400	0.153221	1.22468	0.125111	DD	100
Glyma.04G176200	Glyma.01G165600	0.38874	1.09984	0.353451	DD	90
Glyma.04G225800	Glyma.14G219600	0.549035	3.86516	0.142047	DD	317
Glyma.05G169700	Glyma.13G082700	0.355613	1.88781	0.188373	DD	155
Glyma.05G204800	Glyma.11G025600	0.222933	3.61759	0.0616247	DD	297
Glyma.05G245800	Glyma.12G031200	0.398761	3.74247	0.10655	DD	307
Glyma.06G139000	Glyma.14G219600	0.417128	3.99064	0.104527	DD	327
Glyma.06G189100	Glyma.11G077700	0.447431	2.66318	0.168006	DD	218
Glyma.07G135100	Glyma.08G053600	0.485023	3.80445	0.127488	DD	312
Glyma.08G053600	Glyma.12G031200	0.391854	3.73827	0.104822	DD	306
Glyma.08G128000	Glyma.13G082700	0.357823	1.59471	0.224382	DD	131
Glyma.08G172700	Glyma.10G061800	0.305619	3.71389	0.082291	DD	304
Glyma.09G003600	Glyma.08G053600	0.310249	3.43619	0.0902887	DD	282
Glyma.10G060300	Glyma.10G061700	NA	NA	NA	DD	NA
Glyma.10G060800	Glyma.10G061800	0.0152446	0.0274358	0.555646	DD	2
Glyma.10G061000	Glyma.10G061800	0.00939683	0.0160445	0.585673	DD	1
Glyma.10G061100	Glyma.10G060800	0.297173	0.608885	0.48806	DD	50
Glyma.10G062100	Glyma.11G077800	0.721666	3.78547	0.190641	DD	310
Glyma.11G077700	Glyma.14G219600	0.264319	2.93856	0.0899487	DD	241
Glyma.11G077800	Glyma.12G031200	0.31585800000000003	1.82279	0.173283	DD	149
Glyma.11G106100	Glyma.17G258500	0.377639	4.07343	0.0927078	DD	334
Glyma.11G106200	Glyma.11G077800	0.395283	4.27006	0.0925709	DD	350
Glyma.11G140800	Glyma.08G053600	0.412895	3.45135	0.119633	DD	283
Glyma.12G031000	Glyma.14G219600	0.362337	2.15645	0.168025	DD	177
Glyma.12G031200	Glyma.17G258600	0.290655	1.95167	0.148926	DD	160
Glyma.12G064300	Glyma.08G053600	0.391786	3.37787	0.115986	DD	277
Glyma.12G238900	Glyma.17G248300	0.356717	3.87717	0.0920043	DD	318
Glyma.13G082700	Glyma.14G077300	0.434498	1.85578	0.234133	DD	152
Glyma.14G077300	Glyma.08G053600	0.425273	3.71133	0.114588	DD	304
Glyma.14G077400	Glyma.17G248300	0.06852	0.184313	0.371758	DD	15
Glyma.14G163700	Glyma.14G077300	0.412188	2.16831	0.190096	DD	178
Glyma.14G188400	Glyma.01G165600	0.507061	4.10885	0.123407	DD	337
Glyma.15G254700	Glyma.10G061800	0.331082	3.79855	0.08716	DD	311
Glyma.15G275200	Glyma.17G258500	0.156881	0.753289	0.208261	DD	62
Glyma.16G126900	Glyma.12G031200	0.290151	1.64301	0.176597	DD	135
Glyma.16G127100	Glyma.14G219600	0.304096	2.06579	0.147206	DD	169
Glyma.17G248300	Glyma.12G031200	0.344898	2.44576	0.141019	DD	200
Glyma.17G258600	Glyma.01G165400	0.354462	1.64479	0.215506	DD	135
Glyma.18G185100	Glyma.12G238900	0.418284	3.67225	0.113904	DD	301
Glyma.19G018400	Glyma.08G053600	0.464995	3.74356	0.124212	DD	307
Glyma.01G165600	Glyma.01G165800	0.232338	1.11629	0.208133	PD	91
Glyma.05G204600	Glyma.05G204800	0.0621567	0.137846	0.450914	PD	11
Glyma.10G060300	Glyma.10G060800	0.102348	0.481433	0.21259	PD	39
Glyma.01G217600	Glyma.01G217700	0.299067	3.58004	0.0835374	TD	293
